trial c/dMass c/dEcc 
bmass05_becc13 -1.430612 0.185714
bmass05_becc14 -1.430612 0.200000
bmass05_becc15 -1.430612 0.214286
bmass05_becc16 -1.430612 0.228571
bmass05_becc17 -1.430612 0.242857
bmass05_becc18 -1.430612 0.257143
bmass05_becc19 -1.430612 0.271429
bmass05_becc20 -1.430612 0.285714
bmass05_becc21 -1.430612 0.300000
bmass05_becc22 -1.430612 0.314286
bmass05_becc23 -1.430612 0.328571
bmass05_becc24 -1.430612 0.342857
bmass05_becc25 -1.430612 0.357143
bmass05_becc26 -1.430612 0.371429
bmass05_becc27 -1.430612 0.385714
bmass05_becc28 -1.430612 0.400000
bmass05_becc29 -1.430612 0.414286
bmass05_becc30 -1.430612 0.428571
bmass05_becc31 -1.430612 0.442857
bmass05_becc32 -1.430612 0.457143
bmass05_becc33 -1.430612 0.471429
bmass05_becc34 -1.430612 0.485714
bmass05_becc35 -1.430612 0.500000
bmass05_becc36 -1.430612 0.514286
bmass05_becc37 -1.430612 0.528571
bmass05_becc38 -1.430612 0.542857
bmass05_becc39 -1.430612 0.557143
bmass05_becc40 -1.430612 0.571429
bmass05_becc41 -1.430612 0.585714
bmass05_becc42 -1.430612 0.600000
bmass05_becc43 -1.430612 0.614286
bmass05_becc44 -1.430612 0.628571
bmass05_becc45 -1.430612 0.642857
bmass05_becc46 -1.430612 0.657143
bmass05_becc47 -1.430612 0.671429
bmass05_becc48 -1.430612 0.685714
bmass05_becc49 -1.430612 0.700000
bmass06_becc00 -1.536735 0.000000
bmass06_becc01 -1.536735 0.014286
bmass06_becc02 -1.536735 0.028571
bmass06_becc03 -1.536735 0.042857
bmass06_becc04 -1.536735 0.057143
bmass06_becc05 -1.536735 0.071429
bmass06_becc06 -1.536735 0.085714
bmass06_becc07 -1.536735 0.100000
bmass06_becc08 -1.536735 0.114286
bmass06_becc09 -1.536735 0.128571
bmass06_becc10 -1.536735 0.142857
bmass06_becc11 -1.536735 0.157143
bmass06_becc12 -1.536735 0.171429
bmass06_becc13 -1.536735 0.185714
bmass06_becc14 -1.536735 0.200000
bmass06_becc15 -1.536735 0.214286
bmass06_becc16 -1.536735 0.228571
bmass06_becc17 -1.536735 0.242857
bmass06_becc18 -1.536735 0.257143
bmass06_becc19 -1.536735 0.271429
bmass06_becc20 -1.536735 0.285714
bmass06_becc21 -1.536735 0.300000
bmass06_becc22 -1.536735 0.314286
bmass06_becc23 -1.536735 0.328571
bmass06_becc24 -1.536735 0.342857
bmass06_becc25 -1.536735 0.357143
bmass06_becc26 -1.536735 0.371429
bmass06_becc27 -1.536735 0.385714
bmass06_becc28 -1.536735 0.400000
bmass06_becc29 -1.536735 0.414286
bmass06_becc30 -1.536735 0.428571
bmass06_becc31 -1.536735 0.442857
bmass06_becc32 -1.536735 0.457143
bmass06_becc33 -1.536735 0.471429
bmass06_becc34 -1.536735 0.485714
bmass06_becc35 -1.536735 0.500000
bmass06_becc36 -1.536735 0.514286
bmass06_becc37 -1.536735 0.528571
bmass06_becc38 -1.536735 0.542857
bmass06_becc39 -1.536735 0.557143
bmass06_becc40 -1.536735 0.571429
bmass06_becc41 -1.536735 0.585714
bmass06_becc42 -1.536735 0.600000
bmass06_becc43 -1.536735 0.614286
bmass06_becc44 -1.536735 0.628571
bmass06_becc45 -1.536735 0.642857
bmass06_becc46 -1.536735 0.657143
bmass06_becc47 -1.536735 0.671429
bmass06_becc48 -1.536735 0.685714
bmass06_becc49 -1.536735 0.700000
bmass07_becc00 -1.642857 0.000000
bmass07_becc01 -1.642857 0.014286
bmass07_becc02 -1.642857 0.028571
bmass07_becc03 -1.642857 0.042857
bmass07_becc04 -1.642857 0.057143
bmass07_becc05 -1.642857 0.071429
bmass07_becc06 -1.642857 0.085714
bmass07_becc07 -1.642857 0.100000
bmass07_becc08 -1.642857 0.114286
bmass07_becc09 -1.642857 0.128571
bmass07_becc10 -1.642857 0.142857
bmass07_becc11 -1.642857 0.157143
bmass07_becc12 -1.642857 0.171429
bmass07_becc13 -1.642857 0.185714
bmass07_becc14 -1.642857 0.200000
bmass07_becc15 -1.642857 0.214286
bmass07_becc16 -1.642857 0.228571
bmass07_becc17 -1.642857 0.242857
bmass07_becc18 -1.642857 0.257143
bmass07_becc19 -1.642857 0.271429
bmass07_becc20 -1.642857 0.285714
bmass07_becc21 -1.642857 0.300000
bmass07_becc22 -1.642857 0.314286
bmass07_becc23 -1.642857 0.328571
bmass07_becc24 -1.642857 0.342857
bmass07_becc25 -1.642857 0.357143
bmass07_becc26 -1.642857 0.371429
bmass07_becc27 -1.642857 0.385714
bmass07_becc28 -1.642857 0.400000
bmass07_becc29 -1.642857 0.414286
bmass07_becc30 -1.642857 0.428571
bmass07_becc31 -1.642857 0.442857
bmass07_becc32 -1.642857 0.457143
bmass07_becc33 -1.642857 0.471429
bmass07_becc34 -1.642857 0.485714
bmass07_becc35 -1.642857 0.500000
bmass07_becc36 -1.642857 0.514286
bmass07_becc37 -1.642857 0.528571
bmass07_becc38 -1.642857 0.542857
bmass07_becc39 -1.642857 0.557143
bmass07_becc40 -1.642857 0.571429
bmass07_becc41 -1.642857 0.585714
bmass07_becc42 -1.642857 0.600000
bmass07_becc43 -1.642857 0.614286
bmass07_becc44 -1.642857 0.628571
bmass07_becc45 -1.642857 0.642857
bmass07_becc46 -1.642857 0.657143
bmass07_becc47 -1.642857 0.671429
bmass07_becc48 -1.642857 0.685714
bmass07_becc49 -1.642857 0.700000
bmass08_becc00 -1.748980 0.000000
bmass08_becc01 -1.748980 0.014286
bmass08_becc02 -1.748980 0.028571
bmass08_becc03 -1.748980 0.042857
bmass08_becc04 -1.748980 0.057143
bmass08_becc05 -1.748980 0.071429
bmass08_becc06 -1.748980 0.085714
bmass08_becc07 -1.748980 0.100000
bmass08_becc08 -1.748980 0.114286
bmass08_becc09 -1.748980 0.128571
bmass08_becc10 -1.748980 0.142857
bmass08_becc11 -1.748980 0.157143
bmass08_becc12 -1.748980 0.171429
bmass08_becc13 -1.748980 0.185714
bmass08_becc14 -1.748980 0.200000
bmass08_becc15 -1.748980 0.214286
bmass08_becc16 -1.748980 0.228571
bmass08_becc17 -1.748980 0.242857
bmass08_becc18 -1.748980 0.257143
bmass08_becc19 -1.748980 0.271429
bmass08_becc20 -1.748980 0.285714
bmass08_becc21 -1.748980 0.300000
bmass08_becc22 -1.748980 0.314286
bmass08_becc23 -1.748980 0.328571
bmass08_becc24 -1.748980 0.342857
bmass08_becc25 -1.748980 0.357143
bmass08_becc26 -1.748980 0.371429
bmass08_becc27 -1.748980 0.385714
bmass08_becc28 -1.748980 0.400000
bmass08_becc29 -1.748980 0.414286
bmass08_becc30 -1.748980 0.428571
bmass08_becc31 -1.748980 0.442857
bmass08_becc32 -1.748980 0.457143
bmass08_becc33 -1.748980 0.471429
bmass08_becc34 -1.748980 0.485714
bmass08_becc35 -1.748980 0.500000
bmass08_becc36 -1.748980 0.514286
bmass08_becc37 -1.748980 0.528571
bmass08_becc38 -1.748980 0.542857
bmass08_becc39 -1.748980 0.557143
bmass08_becc40 -1.748980 0.571429
bmass08_becc41 -1.748980 0.585714
bmass08_becc42 -1.748980 0.600000
bmass08_becc43 -1.748980 0.614286
bmass08_becc44 -1.748980 0.628571
bmass08_becc45 -1.748980 0.642857
bmass08_becc46 -1.748980 0.657143
bmass08_becc47 -1.748980 0.671429
bmass08_becc48 -1.748980 0.685714
bmass08_becc49 -1.748980 0.700000
bmass09_becc00 -1.855102 0.000000
bmass09_becc01 -1.855102 0.014286
bmass09_becc02 -1.855102 0.028571
bmass09_becc03 -1.855102 0.042857
bmass09_becc04 -1.855102 0.057143
bmass09_becc05 -1.855102 0.071429
