trial b/dMass b/dEcc 
bmass08_becc00 -2.262069 0.000000
bmass08_becc01 -2.262069 0.010345
bmass08_becc02 -2.262069 0.020690
bmass08_becc03 -2.262069 0.031034
bmass08_becc04 -2.262069 0.041379
bmass08_becc05 -2.262069 0.051724
bmass08_becc06 -2.262069 0.062069
bmass08_becc07 -2.262069 0.072414
bmass08_becc08 -2.262069 0.082759
bmass08_becc09 -2.262069 0.093103
bmass08_becc10 -2.262069 0.103448
bmass08_becc11 -2.262069 0.113793
bmass08_becc12 -2.262069 0.124138
bmass08_becc13 -2.262069 0.134483
bmass08_becc14 -2.262069 0.144828
bmass08_becc15 -2.262069 0.155172
bmass08_becc16 -2.262069 0.165517
bmass08_becc17 -2.262069 0.175862
bmass08_becc18 -2.262069 0.186207
bmass08_becc19 -2.262069 0.196552
bmass08_becc20 -2.262069 0.206897
bmass08_becc21 -2.262069 0.217241
bmass08_becc22 -2.262069 0.227586
bmass08_becc23 -2.262069 0.237931
bmass08_becc24 -2.262069 0.248276
bmass08_becc25 -2.262069 0.258621
bmass08_becc26 -2.262069 0.268966
bmass08_becc27 -2.262069 0.279310
bmass08_becc28 -2.262069 0.289655
bmass08_becc29 -2.262069 0.300000
bmass09_becc00 -2.344828 0.000000
bmass09_becc01 -2.344828 0.010345
bmass09_becc02 -2.344828 0.020690
bmass09_becc03 -2.344828 0.031034
bmass09_becc04 -2.344828 0.041379
bmass09_becc05 -2.344828 0.051724
bmass09_becc06 -2.344828 0.062069
bmass09_becc07 -2.344828 0.072414
bmass09_becc08 -2.344828 0.082759
bmass09_becc09 -2.344828 0.093103
bmass09_becc10 -2.344828 0.103448
bmass09_becc11 -2.344828 0.113793
bmass09_becc12 -2.344828 0.124138
bmass09_becc13 -2.344828 0.134483
bmass09_becc14 -2.344828 0.144828
bmass09_becc15 -2.344828 0.155172
bmass09_becc16 -2.344828 0.165517
bmass09_becc17 -2.344828 0.175862
bmass09_becc18 -2.344828 0.186207
bmass09_becc19 -2.344828 0.196552
bmass09_becc20 -2.344828 0.206897
bmass09_becc21 -2.344828 0.217241
bmass09_becc22 -2.344828 0.227586
bmass09_becc23 -2.344828 0.237931
bmass09_becc24 -2.344828 0.248276
bmass09_becc25 -2.344828 0.258621
bmass09_becc26 -2.344828 0.268966
bmass09_becc27 -2.344828 0.279310
bmass09_becc28 -2.344828 0.289655
bmass09_becc29 -2.344828 0.300000
bmass10_becc00 -2.427586 0.000000
bmass10_becc01 -2.427586 0.010345
bmass10_becc02 -2.427586 0.020690
bmass10_becc03 -2.427586 0.031034
bmass10_becc04 -2.427586 0.041379
bmass10_becc05 -2.427586 0.051724
bmass10_becc06 -2.427586 0.062069
bmass10_becc07 -2.427586 0.072414
bmass10_becc08 -2.427586 0.082759
bmass10_becc09 -2.427586 0.093103
bmass10_becc10 -2.427586 0.103448
bmass10_becc11 -2.427586 0.113793
bmass10_becc12 -2.427586 0.124138
bmass10_becc13 -2.427586 0.134483
bmass10_becc14 -2.427586 0.144828
bmass10_becc15 -2.427586 0.155172
bmass10_becc16 -2.427586 0.165517
bmass10_becc17 -2.427586 0.175862
bmass10_becc18 -2.427586 0.186207
bmass10_becc19 -2.427586 0.196552
bmass10_becc20 -2.427586 0.206897
bmass10_becc21 -2.427586 0.217241
bmass10_becc22 -2.427586 0.227586
bmass10_becc23 -2.427586 0.237931
bmass10_becc24 -2.427586 0.248276
bmass10_becc25 -2.427586 0.258621
bmass10_becc26 -2.427586 0.268966
bmass10_becc27 -2.427586 0.279310
bmass10_becc28 -2.427586 0.289655
bmass10_becc29 -2.427586 0.300000
bmass11_becc00 -2.510345 0.000000
bmass11_becc01 -2.510345 0.010345
bmass11_becc02 -2.510345 0.020690
bmass11_becc03 -2.510345 0.031034
bmass11_becc04 -2.510345 0.041379
bmass11_becc05 -2.510345 0.051724
bmass11_becc06 -2.510345 0.062069
bmass11_becc07 -2.510345 0.072414
bmass11_becc08 -2.510345 0.082759
bmass11_becc09 -2.510345 0.093103
bmass11_becc10 -2.510345 0.103448
bmass11_becc11 -2.510345 0.113793
bmass11_becc12 -2.510345 0.124138
bmass11_becc13 -2.510345 0.134483
bmass11_becc14 -2.510345 0.144828
bmass11_becc15 -2.510345 0.155172
bmass11_becc16 -2.510345 0.165517
bmass11_becc17 -2.510345 0.175862
bmass11_becc18 -2.510345 0.186207
